date,item,type,quality
2020-10-21,unknown,weapon,3
2020-10-21,sacrificial bow,weapon,4
2020-10-21,unknown,weapon,3
2020-10-21,unknown,weapon,3
2020-10-21,unknown,weapon,3
2020-10-21,unknown,weapon,3
2020-10-21,unknown,weapon,3
2020-10-21,unknown,weapon,3
2020-11-12,unknown,weapon,3
2020-11-12,unknown,weapon,3
2020-11-12,lisa,character,4
2020-11-12,unknown,weapon,3
2020-12-02,unknown,weapon,3
2020-12-02,unknown,weapon,3
2020-12-02,unknown,weapon,3
2020-12-02,unknown,weapon,3
2020-12-02,unknown,weapon,3
2020-12-02,unknown,weapon,3
2020-12-02,unknown,weapon,3
2020-12-02,favonius sword,weapon,4
2020-12-02,unknown,weapon,3
2020-12-02,unknown,weapon,3
2020-12-02,unknown,weapon,3
2020-12-23,unknown,weapon,3
2020-12-23,unknown,weapon,3
2020-12-23,unknown,weapon,3
2020-12-23,unknown,weapon,3
2020-12-23,unknown,weapon,3
2020-12-23,xinyan,character,4
2020-12-23,unknown,weapon,3
2020-12-23,unknown,weapon,3
2020-12-23,unknown,weapon,3
2020-12-23,fischl,character,4
2020-12-23,unknown,weapon,3
2020-12-23,unknown,weapon,3
2020-12-23,unknown,weapon,3
2020-12-23,unknown,weapon,3
2020-12-23,unknown,weapon,3
2020-12-23,unknown,weapon,3
2020-12-23,jean,character,5
2020-12-23,unknown,weapon,3
2020-12-23,rust,weapon,4
2020-12-23,unknown,weapon,3
2020-12-23,unknown,weapon,3
2020-12-23,unknown,weapon,3
2020-12-23,unknown,weapon,3
2020-12-24,unknown,weapon,3
2020-12-24,unknown,weapon,3
2020-12-24,unknown,weapon,3
2020-12-24,unknown,weapon,3
2020-12-24,ningguang,character,4
2020-12-24,unknown,weapon,3
2020-12-24,unknown,weapon,3
2020-12-24,barbara,character,4
2020-12-24,unknown,weapon,3
2020-12-24,unknown,weapon,3
2020-12-24,unknown,weapon,3
2020-12-24,unknown,weapon,3
2020-12-24,unknown,weapon,3
2020-12-24,unknown,weapon,3
2020-12-24,unknown,weapon,3
2020-12-24,unknown,weapon,3
2020-12-24,favonius warbow,weapon,4
2020-12-24,unknown,weapon,3
2020-12-24,unknown,weapon,3
2020-12-24,unknown,weapon,3
2020-12-24,unknown,weapon,3
2020-12-24,unknown,weapon,3
2021-01-13,unknown,weapon,3
2021-01-13,unknown,weapon,3
2021-01-13,unknown,weapon,3
2021-01-13,barbara,character,4
2021-01-13,unknown,weapon,3
2021-01-13,unknown,weapon,3
2021-01-13,unknown,weapon,3
2021-01-13,unknown,weapon,3
2021-01-13,unknown,weapon,3
2021-01-13,unknown,weapon,3
2021-01-13,unknown,weapon,3
2021-01-13,unknown,weapon,3
2021-02-04,unknown,weapon,3
2021-02-04,the bell,weapon,4
2021-02-04,unknown,weapon,3
2021-02-04,unknown,weapon,3
2021-02-18,unknown,weapon,3
2021-02-18,unknown,weapon,3
2021-02-18,unknown,weapon,3
2021-02-18,unknown,weapon,3
2021-02-18,unknown,weapon,3
2021-02-18,unknown,weapon,3
2021-03-03,unknown,weapon,3
2021-03-03,noelle,character,4
2021-03-03,unknown,weapon,3
2021-03-03,eye of perception,weapon,4
2021-03-03,unknown,weapon,3
2021-03-03,unknown,weapon,3
2021-03-03,unknown,weapon,3
2021-03-03,unknown,weapon,3
2021-03-03,unknown,weapon,3
2021-03-03,unknown,weapon,3
2021-03-03,unknown,weapon,3
2021-03-18,unknown,weapon,3
2021-03-18,the stringless,weapon,4
2021-03-18,unknown,weapon,3
2021-03-18,unknown,weapon,3
2021-03-18,lisa,character,4
2021-03-18,unknown,weapon,3
2021-03-18,unknown,weapon,3
2021-03-18,unknown,weapon,3
2021-03-18,unknown,weapon,3
2021-03-18,unknown,weapon,3
2021-03-18,unknown,weapon,3
2021-03-18,unknown,weapon,3
2021-03-18,unknown,weapon,3
2021-03-18,unknown,weapon,3
2021-04-07,favonius codex,weapon,4
2021-04-07,unknown,weapon,3
2021-04-13,thrilling tales of dragon slayers,weapon,3
2021-05-01,skyward blade,weapon,5
2021-05-01,slingshot,weapon,3
2021-05-01,slingshot,weapon,3
2021-05-01,harbinger of dawn,weapon,3
2021-05-01,raven bow,weapon,3
2021-05-15,ferrous shadow,weapon,3
2021-05-18,chongyun,character,4
2021-05-19,slingshot,weapon,3
2021-05-21,black tassel,weapon,3
2021-05-29,harbinger of dawn,weapon,3
2021-05-29,emerald orb,weapon,3
2021-05-30,bloodtainted greatsword,weapon,3
2021-05-30,harbinger of dawn,weapon,3
2021-06-01,bloodtainted greatsword,weapon,3
2021-06-01,magic guide,weapon,3
2021-06-01,the stringless,weapon,4
2021-06-01,debate club,weapon,3
2021-06-01,thrilling tales of dragon slayers,weapon,3
2021-06-12,thrilling tales of dragon slayers,weapon,3
2021-06-14,black tassel,weapon,3
2021-06-19,thrilling tales of dragon slayers,weapon,3
2021-06-23,magic guide,weapon,3
2021-06-26,the stringless,weapon,4
2021-07-02,ferrous shadow,weapon,3
2021-07-02,emerald orb,weapon,3
2021-07-02,debate club,weapon,3
2021-07-02,magic guide,weapon,3
2021-07-02,skyrider sword,weapon,3
2021-07-02,harbinger of dawn,weapon,3
2021-07-04,ferrous shadow,weapon,3
2021-07-04,black tassel,weapon,3
2021-07-11,sharpshooter's oath,weapon,3
2021-06-30,beidou,character,4
2021-07-21,raven bow,weapon,3
2021-07-21,sharpshooter's oath,weapon,3
2021-07-21,cool steel,weapon,3
2021-07-21,sharpshooter's oath,weapon,3
2021-07-22,raven bow,weapon,3
2021-07-22,raven bow,weapon,3
2021-07-31,raven bow,weapon,3
2021-07-31,emerald orb,weapon,3
2021-08-01,favonius codex,weapon,4
2021-08-01,cool steel,weapon,3
2021-08-01,emerald orb,weapon,3
2021-08-01,barbara,character,4
2021-08-02,thrilling tales of dragon slayers,weapon,3
2021-08-02,bloodtainted greatsword,weapon,3
2021-08-02,bloodtainted greatsword,weapon,3
2021-08-07,black tassel,weapon,3
2021-08-08,ferrous shadow,weapon,3
2021-08-08,sharpshooter's oath,weapon,3
2021-08-08,magic guide,weapon,3
2021-08-10,thrilling tales of dragon slayers,weapon,3
2021-08-10,favonius greatsword,weapon,4
2021-08-10,raven bow,weapon,3
2021-08-11,bloodtainted greatsword,weapon,3
2021-08-11,cool steel,weapon,3
2021-08-13,thrilling tales of dragon slayers,weapon,3
2021-08-13,harbinger of dawn,weapon,3
2021-08-14,ferrous shadow,weapon,3
2021-08-17,emerald orb,weapon,3
2021-08-20,raven bow,weapon,3
2021-08-21,skyrider sword,weapon,3
2021-08-21,kaeya,character,4
2021-08-26,sharpshooter's oath,weapon,3
2021-09-02,sharpshooter's oath,weapon,3
2021-09-02,emerald orb,weapon,3
2021-09-02,debate club,weapon,3
2021-09-02,magic guide,weapon,3
2021-09-02,bloodtainted greatsword,weapon,3
2021-09-02,ferrous shadow,weapon,3
2021-09-02,black tassel,weapon,3
2021-09-03,rainslasher,weapon,4
2021-09-03,raven bow,weapon,3
2021-09-05,slingshot,weapon,3
2021-09-07,magic guide,weapon,3
2021-09-08,cool steel,weapon,3
2021-09-10,mona,character,5
2021-09-10,emerald orb,weapon,3
2021-09-10,black tassel,weapon,3
2021-09-11,sharpshooter's oath,weapon,3
2021-09-12,thrilling tales of dragon slayers,weapon,3
2021-09-16,bennett,character,4
2021-09-16,magic guide,weapon,3
2021-09-17,raven bow,weapon,3
2021-09-23,bloodtainted greatsword,weapon,3
2021-09-23,thrilling tales of dragon slayers,weapon,3
2021-10-01,sharpshooter's oath,weapon,3
2021-10-01,ningguang,character,4
2021-10-01,harbinger of dawn,weapon,3
2021-10-01,lion's roar,weapon,4
2021-10-01,raven bow,weapon,3
2021-10-02,ferrous shadow,weapon,3
2021-10-13,debate club,weapon,3
2021-10-17,cool steel,weapon,3
2021-10-17,debate club,weapon,3
2021-10-17,ferrous shadow,weapon,3
2021-10-19,debate club,weapon,3
2021-10-25,black tassel,weapon,3
2021-10-30,raven bow,weapon,3
2021-11-01,kujou sara,character,4
2021-11-01,harbinger of dawn,weapon,3
2021-11-01,ferrous shadow,weapon,3
2021-11-01,bloodtainted greatsword,weapon,3
2021-11-01,ferrous shadow,weapon,3
2021-11-02,sharpshooter's oath,weapon,3
2021-11-04,raven bow,weapon,3
2021-11-05,slingshot,weapon,3
2021-11-05,raven bow,weapon,3
2021-11-05,skyrider sword,weapon,3
2021-11-05,the bell,weapon,4
2021-11-09,emerald orb,weapon,3
2021-11-11,thrilling tales of dragon slayers,weapon,3
2021-11-13,sharpshooter's oath,weapon,3
2021-11-15,skyrider sword,weapon,3
2021-11-18,slingshot,weapon,3
2021-11-29,bloodtainted greatsword,weapon,3
2021-12-02,slingshot,weapon,3
2021-12-02,slingshot,weapon,3
2021-12-02,noelle,character,4
2021-12-02,black tassel,weapon,3
2021-12-02,harbinger of dawn,weapon,3
2021-12-06,slingshot,weapon,3
2021-12-12,debate club,weapon,3
2021-12-14,harbinger of dawn,weapon,3
2021-12-14,ferrous shadow,weapon,3
2021-12-17,bloodtainted greatsword,weapon,3
2021-12-18,black tassel,weapon,3
2021-12-22,the bell,weapon,4
2021-12-26,debate club,weapon,3
2021-12-26,harbinger of dawn,weapon,3
2021-12-26,sharpshooter's oath,weapon,3
2021-12-30,ferrous shadow,weapon,3
